epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2025,2.241,4.57411,1.97674,0,0,0,0,1.08459,4.00822,1.03182,9.367e-05,9.367e-05,9.367e-05
2,18.4363,1.20304,3.84719,1.13716,0.03854,0.68785,0.05563,0.03124,1.4593,3.60489,1.11839,0.000188212,0.000188212,0.000188212
3,25.5964,1.17055,3.4003,1.1263,0.03494,0.87235,0.12883,0.06429,1.68355,3.26657,1.31157,0.000280355,0.000280355,0.000280355
4,33.471,1.14881,3.02816,1.1421,0.80383,0.21138,0.2877,0.1632,1.53695,2.78084,1.23517,0.000311009,0.000311009,0.000311009
5,40.1398,1.12756,2.62089,1.1368,0.67646,0.36278,0.42877,0.28891,1.17778,2.04814,1.12418,0.000307011,0.000307011,0.000307011
6,48.0716,1.09525,2.24419,1.12938,0.63754,0.48663,0.5504,0.4024,1.02107,1.6844,1.07224,0.000303014,0.000303014,0.000303014
7,54.7436,1.08869,2.00655,1.12892,0.60058,0.58632,0.6138,0.40727,1.22656,1.46435,1.14601,0.000299017,0.000299017,0.000299017
8,62.5956,1.03675,1.71874,1.10818,0.69885,0.68087,0.71525,0.47664,1.19946,1.25947,1.09895,0.00029502,0.00029502,0.00029502
9,69.4171,1.0295,1.59176,1.08673,0.80995,0.64361,0.73612,0.4763,1.31034,1.1594,1.1389,0.000291023,0.000291023,0.000291023
10,77.1534,0.99284,1.39937,1.07906,0.7751,0.72366,0.79196,0.58148,1.00374,1.01372,1.03511,0.000287026,0.000287026,0.000287026
11,84.2782,0.99822,1.34077,1.07832,0.83469,0.75681,0.85402,0.64235,0.95748,0.93964,1.02451,0.000283029,0.000283029,0.000283029
12,91.6412,0.98208,1.2496,1.06413,0.8615,0.76424,0.8476,0.6449,0.94352,0.89617,1.01123,0.000279032,0.000279032,0.000279032
13,99.5823,0.94355,1.15994,1.0486,0.85465,0.81513,0.88048,0.67252,0.89873,0.82322,1.00567,0.000275035,0.000275035,0.000275035
14,106.366,0.93854,1.12625,1.05341,0.89128,0.81754,0.9024,0.67616,0.93656,0.81887,1.01319,0.000271037,0.000271037,0.000271037
15,114.216,0.92525,1.07495,1.04118,0.92225,0.86615,0.93829,0.67973,1.0369,0.71733,1.03061,0.00026704,0.00026704,0.00026704
16,120.814,0.91921,1.04746,1.03691,0.92559,0.85916,0.9352,0.68945,0.99209,0.74201,1.01458,0.000263043,0.000263043,0.000263043
17,128.699,0.90579,1.00838,1.01748,0.90647,0.92587,0.95261,0.68224,1.01088,0.6634,1.02618,0.000259046,0.000259046,0.000259046
18,135.282,0.90561,0.98768,1.02874,0.91198,0.88622,0.94783,0.72932,0.8901,0.70233,1.00302,0.000255049,0.000255049,0.000255049
19,143.127,0.91878,0.97263,1.02556,0.9256,0.9113,0.95366,0.71971,0.89148,0.66672,0.98338,0.000251052,0.000251052,0.000251052
20,149.882,0.8884,0.93407,1.00946,0.94111,0.92543,0.96929,0.7289,0.90552,0.64257,0.99087,0.000247055,0.000247055,0.000247055
21,157.665,0.8809,0.90236,1.01232,0.93253,0.90923,0.96834,0.72407,0.90604,0.6484,0.99225,0.000243057,0.000243057,0.000243057
22,165.114,0.85208,0.88737,1.00029,0.95233,0.91951,0.96711,0.69406,1.03883,0.60666,1.02862,0.00023906,0.00023906,0.00023906
23,172.201,0.87937,0.88248,1.01363,0.95403,0.91078,0.96449,0.72411,0.91063,0.58738,0.98887,0.000235063,0.000235063,0.000235063
24,180.083,0.8979,0.87993,1.0103,0.94763,0.92483,0.96761,0.72873,0.90441,0.61215,0.99288,0.000231066,0.000231066,0.000231066
25,186.873,0.87251,0.84589,1.0013,0.95698,0.93533,0.97411,0.73506,0.88228,0.57531,0.97812,0.000227069,0.000227069,0.000227069
26,194.72,0.86232,0.85741,0.99623,0.95796,0.93124,0.96885,0.69968,0.99878,0.57993,1.00246,0.000223072,0.000223072,0.000223072
27,201.392,0.86196,0.83132,0.99308,0.95827,0.91735,0.9725,0.73686,0.87724,0.54653,0.97309,0.000219075,0.000219075,0.000219075
28,209.274,0.87613,0.8339,0.99897,0.94301,0.93025,0.97283,0.72966,0.90537,0.56208,0.98732,0.000215078,0.000215078,0.000215078
29,216.002,0.82612,0.8009,0.98791,0.96348,0.91956,0.97131,0.72364,0.92464,0.58021,0.9982,0.00021108,0.00021108,0.00021108
30,223.882,0.8384,0.79227,0.9913,0.94796,0.91672,0.9725,0.73453,0.90754,0.5806,0.99034,0.000207083,0.000207083,0.000207083
31,230.971,0.82031,0.78458,0.97981,0.95682,0.93826,0.98143,0.74264,0.9007,0.54169,0.98413,0.000203086,0.000203086,0.000203086
32,238.279,0.83013,0.78597,0.98437,0.97109,0.95105,0.98062,0.72676,0.9365,0.53474,0.99565,0.000199089,0.000199089,0.000199089
33,245.999,0.80192,0.74863,0.98146,0.95105,0.95858,0.98312,0.74099,0.90512,0.52229,0.98027,0.000195092,0.000195092,0.000195092
34,252.791,0.8329,0.77419,0.98601,0.95654,0.94268,0.98405,0.7365,0.9484,0.54099,0.99151,0.000191095,0.000191095,0.000191095
35,260.633,0.802,0.75492,0.98008,0.95899,0.94646,0.98422,0.75827,0.84714,0.51524,0.9664,0.000187098,0.000187098,0.000187098
36,267.323,0.79874,0.74234,0.97203,0.9555,0.95555,0.98599,0.75818,0.84211,0.50434,0.97544,0.000183101,0.000183101,0.000183101
37,275.143,0.79936,0.74229,0.9745,0.96692,0.94648,0.98757,0.71929,0.96183,0.54727,0.99772,0.000179103,0.000179103,0.000179103
38,281.989,0.81765,0.73847,0.9764,0.97803,0.93392,0.98353,0.73007,0.92704,0.53645,0.99933,0.000175106,0.000175106,0.000175106
39,289.977,0.79501,0.71226,0.96953,0.96295,0.94435,0.98589,0.73977,0.9042,0.5135,0.9824,0.000171109,0.000171109,0.000171109
40,296.95,0.80329,0.72403,0.96853,0.95763,0.93973,0.98414,0.73467,0.91854,0.51164,0.98836,0.000167112,0.000167112,0.000167112
