epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.3244,1.22241,1.82198,1.39369,0.7644,0.71046,0.74741,0.47273,1.30961,1.48387,1.66147,0.000662447,0.000662447,0.000662447
2,115.387,1.24639,1.30243,1.4031,0.79586,0.42359,0.52959,0.35625,1.48643,2.35948,1.63695,0.0013028,0.0013028,0.0013028
3,169.559,1.22115,1.25395,1.38367,0.68393,0.68901,0.74988,0.52408,1.14442,1.24792,1.40913,0.00191675,0.00191675,0.00191675
4,223.335,1.15493,1.16577,1.35294,0.81799,0.80965,0.82951,0.59399,1.10328,1.06734,1.41758,0.0018812,0.0018812,0.0018812
5,276.73,1.14738,1.1058,1.34635,0.89015,0.8038,0.84899,0.63702,1.00506,0.93958,1.30604,0.0018416,0.0018416,0.0018416
6,330.537,1.12265,1.08029,1.31898,0.86732,0.74263,0.83623,0.6024,1.05079,0.97753,1.34626,0.001802,0.001802,0.001802
7,383.963,1.08081,1.02649,1.30267,0.85616,0.84575,0.87738,0.65811,0.97552,0.78974,1.30476,0.0017624,0.0017624,0.0017624
8,438.886,1.05675,1.0114,1.28925,0.7219,0.76944,0.77341,0.57033,1.07309,1.07408,1.35654,0.0017228,0.0017228,0.0017228
9,492.637,1.02087,0.94829,1.25504,0.88583,0.85288,0.87942,0.65931,0.98926,0.75639,1.27448,0.0016832,0.0016832,0.0016832
10,546.923,0.99608,0.92077,1.24009,0.9075,0.86802,0.89822,0.69681,0.91606,0.70283,1.25014,0.0016436,0.0016436,0.0016436
11,600.266,0.99498,0.92268,1.24044,0.84812,0.82338,0.85664,0.63798,0.9218,0.78519,1.24801,0.001604,0.001604,0.001604
12,653.549,0.98788,0.91183,1.23831,0.90444,0.85255,0.88948,0.67929,0.89883,0.68573,1.23456,0.0015644,0.0015644,0.0015644
13,706.756,0.97041,0.88048,1.23002,0.91422,0.85523,0.8927,0.67611,0.96472,0.71731,1.26537,0.0015248,0.0015248,0.0015248
14,759.889,0.94514,0.83789,1.21087,0.90648,0.88358,0.90073,0.70555,0.87073,0.63722,1.22591,0.0014852,0.0014852,0.0014852
15,813.369,0.93402,0.84678,1.21069,0.89815,0.85255,0.8829,0.68369,0.89302,0.74931,1.20182,0.0014456,0.0014456,0.0014456
16,866.743,0.92403,0.82494,1.1955,0.84172,0.77212,0.82807,0.63499,0.91286,0.89968,1.23137,0.001406,0.001406,0.001406
17,920.207,0.90133,0.81419,1.19245,0.94649,0.87668,0.91115,0.70045,0.87526,0.62954,1.20117,0.0013664,0.0013664,0.0013664
18,973.603,0.89593,0.79782,1.18898,0.88259,0.85255,0.8881,0.68035,0.91162,0.68061,1.22084,0.0013268,0.0013268,0.0013268
19,1026.73,0.8937,0.77201,1.18511,0.89779,0.82418,0.89374,0.68687,0.89466,0.68451,1.24337,0.0012872,0.0012872,0.0012872
20,1079.98,0.89513,0.79059,1.17541,0.90618,0.90636,0.91816,0.71051,0.87381,0.62313,1.19218,0.0012476,0.0012476,0.0012476
21,1133.83,0.86821,0.76051,1.17036,0.91182,0.8874,0.90541,0.70852,0.85188,0.59444,1.19722,0.001208,0.001208,0.001208
22,1186.47,0.869,0.74587,1.1697,0.9044,0.90617,0.91341,0.71467,0.85263,0.6034,1.1936,0.0011684,0.0011684,0.0011684
23,1239.18,0.86537,0.75798,1.1678,0.90758,0.8874,0.91546,0.7123,0.84879,0.66331,1.17466,0.0011288,0.0011288,0.0011288
24,1291.71,0.85506,0.736,1.16408,0.9251,0.88472,0.90308,0.71019,0.84976,0.58874,1.17486,0.0010892,0.0010892,0.0010892
25,1345.36,0.83634,0.71078,1.14404,0.90567,0.87516,0.90605,0.70699,0.84356,0.60826,1.16911,0.0010496,0.0010496,0.0010496
26,1398.4,0.83867,0.72641,1.14482,0.87881,0.82574,0.88239,0.68522,0.8912,0.66799,1.20205,0.00101,0.00101,0.00101
27,1451.63,0.81968,0.72757,1.14028,0.94049,0.89544,0.93029,0.72233,0.82472,0.55467,1.17867,0.0009704,0.0009704,0.0009704
28,1505.43,0.82874,0.70695,1.1469,0.91695,0.90617,0.91192,0.72657,0.81134,0.56066,1.14177,0.0009308,0.0009308,0.0009308
29,1558.12,0.81589,0.72135,1.14215,0.90361,0.87967,0.91311,0.72676,0.82404,0.58416,1.14656,0.0008912,0.0008912,0.0008912
30,1611.13,0.81529,0.70292,1.14205,0.92654,0.89812,0.91468,0.7279,0.79823,0.5299,1.15492,0.0008516,0.0008516,0.0008516
31,1664.28,0.80385,0.69094,1.13208,0.92456,0.89008,0.92164,0.73428,0.82484,0.59207,1.15224,0.000812,0.000812,0.000812
